0,1,2,3,4,5
2006-06-28_76ers_Timberwolves,76ers Aquires: ;rights to Bobby Jones (Ray),Timberwolves Aquires: ;2007 second round pick (#41-Chris Richard);cash,,,
2006-06-28_76ers_Raptors,76ers Aquires: ;rights to Edin Bavcic,Raptors Aquires: ;cash considerations,,,
2006-06-28_76ers_Bulls,76ers Aquires: ;rights to Rodney Carney;2007 second round pick (#38-Kyrylo Fesenko);$1M cash,Bulls Aquires: ;rights to Thabo Sefolosha,,,
2006-06-28_Blazers_Celtics,Blazers Aquires: ;Dan Dickau;Raef LaFrentz;rights to Randy Foye,Celtics Aquires: ;Sebastian Telfair;Theo Ratliff;2008 conditional second round pick (#46-Trent Plaisted),,,
2006-06-28_Blazers_Pacers,"Blazers Aquires: ;rights to Alexander Johnson;2007 second round pick (#42-Derrick Byars);2008 second round pick (less favorable of Pacers, Suns picks) (#55-Mike Taylor)",Pacers Aquires: ;rights to James White,,,
2006-06-28_Blazers_Bulls,"Blazers Aquires: ;rights to LaMarcus Aldridge;second round pick (2007 if pick is #53 or better, else 2008) (2007 #53-Demetris Nichols)",Bulls Aquires: ;Viktor Khryapa;rights to Tyrus Thomas,,,
2006-06-28_Blazers_Suns,Blazers Aquires: ;rights to Sergio Rodriguez,Suns Aquires: ;$3M cash,,,
2006-06-28_Bucks_Spurs,Bucks Aquires: ;rights to Damir Markota,"Spurs Aquires: ;2007 second round pick (more favorable of Bucks, Rockets) (#33-Marcus Williams)",,,
2006-06-28_Celtics_Suns,Celtics Aquires: ;Brian Grant;rights to Rajon Rondo;cash considerations,Suns Aquires: ;first round pick (protected top 10 in 2007-10) (2007 #24-Rudy Fernandez),,,
2006-06-28_Celtics_Nuggets,Celtics Aquires: ;rights to Leon Powe,Nuggets Aquires: ;2007 second round pick (#49-Aaron Gray),,,
2006-06-28_Lakers_Pistons,Lakers Aquires: ;Maurice Evans,Pistons Aquires: ;rights to Cheikh Samb,,,
2006-06-28_Lakers_Mavericks,Lakers Aquires: ;rights to Danilo Pinnock / J.R. Pinnock,Mavericks Aquires: ;2007 second round pick (#50-Renaldas Seibutis),,,
2006-06-28_Magic_Rockets,Magic Aquires: ;cash considerations,Rockets Aquires: ;rights to Lior Eliyahu,,,
2006-06-28_Blazers_Grizzlies,Blazers Aquires: ;2008 second round pick (#33-Joey Dorsey),Grizzlies Aquires: ;rights to Alexander Johnson,,,
2006-06-28_Blazers_Timberwolves,Blazers Aquires: ;rights to Brandon Roy,Timberwolves Aquires: ;rights to Randy Foye;cash,,,
2006-06-30_Bucks_Raptors,Bucks Aquires: ;Charlie Villanueva,Raptors Aquires: ;T.J. Ford;cash,,,
2006-07-12_Grizzlies_Rockets,Grizzlies Aquires: ;Stromile Swift;rights to Rudy Gay,Rockets Aquires: ;Shane Battier,,,
2006-07-12_Jazz_Warriors,Jazz Aquires: ;Derek Fisher,Warriors Aquires: ;Devin Brown;Keith McLeod;Andre Owens,,,
2006-07-12_Mavericks_Pacers,Mavericks Aquires: ;Austin Croshere,Pacers Aquires: ;Marquis Daniels,,,
2006-07-12_Hornets_Pacers,Hornets Aquires: ;Predrag Stojakovic / Peja Stojakovic;cash,Pacers Aquires: ;rights to Andrew Betts,,,
2006-07-14_Bulls_Hornets,Bulls Aquires: ;P.J. Brown;J.R. Smith,Hornets Aquires: ;Tyson Chandler,,,
2006-07-14_Hornets_Rockets,Hornets Aquires: ;Hornets option to swap 2008 second round picks (#54-Maarty Leunen);cash,Rockets Aquires: ;Kirk Snyder;Hornets option to swap 2008 second round picks (#56-Sasha Kaun);cash,,,
2006-07-20_Bulls_Nuggets,"Bulls Aquires: ;Howard Eisley;2007 second round pick (less favorable of Celtics, Warriors picks) (#49-Aaron Gray);2007 second round pick (#51-JamesOn Curry)",Nuggets Aquires: ;J.R. Smith,,,
2006-07-24_Mavericks_Pacers,Mavericks Aquires: ;Anthony Johnson,Pacers Aquires: ;Darrell Armstrong;Josh Powell;Rawle Marshall,,,
2006-07-27_Nets_Sonics,Nets Aquires: ;Mikki Moore,Sonics Aquires: ;2009 second round pick (#40-Derrick Brown),,,
2006-07-31_Blazers_Bucks,Blazers Aquires: ;Jamaal Magloire,Bucks Aquires: ;Steve Blake;Brian Skinner;Ha Seung-Jin,,,
2006-08-10_Bucks_Nuggets,Bucks Aquires: ;Ruben Patterson,Nuggets Aquires: ;Joe Smith (Leynard),,,
2006-08-18_Bulls_Cavaliers,Bulls Aquires: ;Martynas Andriuskevicius,Cavaliers Aquires: ;Eddie Basden,,,
2006-08-22_Hawks_Pacers,"Hawks Aquires: ;first round pick (protected top 10 in 2007, top 8 in 2008, top 5 in 2009) (2007 #11-Acie Law);cash",Pacers Aquires: ;Al Harrington;John Edwards,,,
2006-10-13_Cavaliers_Celtics,Cavaliers Aquires: ;Dwayne Jones;trade exception,Celtics Aquires: ;Luke Jackson (Ryan);cash considerations,,,
2006-12-19_76ers_Nuggets,"76ers Aquires: ;Andre Miller;Joe Smith (Leynard);2007 first round pick (protected top 1 in 2007) (#21-Daequan Cook);first round pick (protected top 7 in 2007, top 5 in 2008) (2007 #30-Petteri Koponen)",Nuggets Aquires: ;Allen Iverson;Ivan McFarlin,,,
2007-01-03_Bobcats_Nets,Bobcats Aquires: ;Jeff McInnis;cash,Nets Aquires: ;Bernard Robinson,,,
2007-01-11_Bucks_Nuggets,Bucks Aquires: ;Earl Boykins;Julius Hodge;$700K cash,Nuggets Aquires: ;Steve Blake,,,
2007-01-17_Pacers_Warriors,Pacers Aquires: ;Ike Diogu;Mike Dunleavy Jr.;Keith McLeod;Troy Murphy,Warriors Aquires: ;Al Harrington;Stephen Jackson;Sarunas Jasikevicius;Josh Powell,,,
2007-02-13_Grizzlies_Rockets,Grizzlies Aquires: ;Scott Padgett,Rockets Aquires: ;Iakovos Tsakalidis / Jake Tsakalidis,,,
2007-02-13_Bobcats_Spurs,"Bobcats Aquires: ;Eric Williams;2009 second round pick (less favorable of Hornets, Spurs picks) (#54-Robert Vaden);$1M cash",Spurs Aquires: ;Melvin Ely,,,
2007-02-22_76ers_Jazz,76ers Aquires: ;76ers right to swap 2007 second round picks (not exercised);cash,Jazz Aquires: ;Alan Henderson;76ers right to swap second round picks (not exercised),,,
2007-02-22_Blazers_Raptors,Blazers Aquires: ;Fred Jones;future considerations (cash?),Raptors Aquires: ;Juan Dixon,,,
2007-02-22_Hawks_Mavericks,Hawks Aquires: ;Anthony Johnson,Mavericks Aquires: ;2007 second round pick (#34-Nick Fazekas),,,
2007-06-11_Rockets_Timberwolves,Rockets Aquires: ;Mike James (Lamont);Justin Reed,Timberwolves Aquires: ;Juwan Howard,,,
2007-06-15_Pistons_Raptors,Pistons Aquires: ;2009 second round pick (#39-Jonas Jerebko);2011 second round pick (#33-Kyle Singler),Raptors Aquires: ;Carlos Delfino,,,
2007-06-28_Magic_Rockets,Magic Aquires: ;cash,Rockets Aquires: ;2007 second round pick (#54-Brad Newley),,,
2007-06-28_76ers_Blazers,76ers Aquires: ;rights to Derrick Byars;cash,Blazers Aquires: ;rights to Petteri Koponen,,,
2007-06-28_76ers_Jazz,76ers Aquires: ;rights to Herbert Hill;0000 second round pick (?-?),Jazz Aquires: ;rights to Kyrylo Fesenko,,,
2007-06-28_76ers_Heat,76ers Aquires: ;rights to Jason Smith,Heat Aquires: ;rights to Daequan Cook;2009 second round pick (#45-Nick Calathes);cash,,,
2007-06-28_Blazers_Knicks,Blazers Aquires: ;Steve Francis;Channing Frye;2008 second round pick (#36-Omer Asik),Knicks Aquires: ;Zach Randolph;Fred Jones;Dan Dickau;rights to Demetris Nichols,,,
2007-06-28_Bobcats_Warriors,Bobcats Aquires: ;Jason Richardson;rights to Jermareo Davidson,Warriors Aquires: ;rights to Brandan Wright,,,
2007-06-28_Celtics_Sonics,Celtics Aquires: ;Ray Allen;rights to Glen Davis,"Sonics Aquires: ;Wally Szczerbiak;Delonte West;rights to Jeff Green;2008 second round pick (more favorable of Blazers, Celtics picks) (#46-Trent Plaisted)",,,
2007-06-28_Magic_Mavericks,Magic Aquires: ;rights to Milovan Rakovic;cash,Mavericks Aquires: ;rights to Reyshawn Terry,,,
2007-06-28_Rockets_Sonics,Rockets Aquires: ;rights to Carl Landry,Sonics Aquires: ;2008 second round pick (#56-Sasha Kaun);cash,,,
2007-06-28_Heat_Pacers,Heat Aquires: ;2009 second round pick (#43-Marcus Thornton),Pacers Aquires: ;rights to Stanko Barac,,,
2007-06-28_Raptors_Spurs,Raptors Aquires: ;rights to Giorgos Printezis,Spurs Aquires: ;2008 second round pick (#45-Goran Dragic),,,
2007-07-11_Blazers_Suns,Blazers Aquires: ;James Jones (Andrew);rights to Rudy Fernandez,Suns Aquires: ;$3M cash,,,
2007-07-11_Magic_Sonics,Magic Aquires: ;Rashard Lewis,"Sonics Aquires: ;2009 protected second round pick (top 55 in 2009, extinguished thereafter) (#57-Emir Preldžic);$9M trade exception",,,
2007-07-12_Rockets_Spurs,Rockets Aquires: ;Jackie Butler;rights to Luis Scola,Spurs Aquires: ;rights to Vassilis Spanoulis;2009 second round pick (#53-Nando De Colo);cash;future considerations (?),,,
2007-07-20_Sonics_Suns,Sonics Aquires: ;Kurt Thomas;2008 first round pick (#24-Serge Ibaka);2010 first round pick (#26-Quincy Pondexter),"Suns Aquires: ;2009 second round pick (protected top 55 in 2009, extinguished thereafter) (#57-Emir Preldžic);$9M trade exception",,,
2007-07-31_Celtics_Timberwolves,Celtics Aquires: ;Kevin Garnett,"Timberwolves Aquires: ;Al Jefferson;Gerald Green (b. 1986-01-26);Theo Ratliff;Ryan Gomes;Sebastian Telfair;first round pick (protected top 3 in 2009, top 2 in 2010, top 2 in 2011, unprotected in 2012) (2009 #6-Jonny Flynn);conditional first round pick (2009 #28-Wayne Ellington);cash",,,
2007-08-16_Grizzlies_Wizards,Grizzlies Aquires: ;rights to Juan Carlos Navarro,"Wizards Aquires: ;first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick, $1M cash) (2010 #12-Xavier Henry)",,,
2007-09-10_76ers_Nuggets,76ers Aquires: ;Reggie Evans;rights to Ricky Sanchez,Nuggets Aquires: ;Steven Hunter;Bobby Jones (Ray),,,
2007-09-28_Mavericks_Timberwolves,Mavericks Aquires: ;Trenton Hassell,Timberwolves Aquires: ;Greg Buckner,,,
2007-09-29_Cavaliers_Hornets,Cavaliers Aquires: ;Cedric Simmons,Hornets Aquires: ;David Wesley;cash,,,
2007-09-30_Clippers_Knicks,Clippers Aquires: ;cash,Knicks Aquires: ;rights to Jared Jordan,,,
2007-10-24_Heat_Timberwolves,Heat Aquires: ;Ricky Davis;Mark Blount,"Timberwolves Aquires: ;Antoine Walker;Wayne Simien;Michael Doleac;first round pick (protected top 14 in 2008, top 10 in 2009, top 6 in 2010, unprotected in 2011) (2009 #18-Ty Lawson);cash",,,
2007-10-29_Hornets_Nets,Hornets Aquires: ;Bernard Robinson;Mile Ilic;cash,Nets Aquires: ;David Wesley,,,
2007-10-29_Spurs_Timberwolves,Spurs Aquires: ;2008 second round pick (top 57 protected) (not exercised),Timberwolves Aquires: ;Beno Udrih;cash,,,
2007-11-20_Lakers_Magic,Lakers Aquires: ;Trevor Ariza,Magic Aquires: ;Brian Cook;Maurice Evans,,,
2007-12-14_Bobcats_Pistons,Bobcats Aquires: ;Nazr Mohammed,Pistons Aquires: ;Primoz Brezec;Walter Herrmann,,,
2007-12-29_76ers_Jazz,"76ers Aquires: ;Gordan Giricek;2009 first round pick (less favorable of Jazz, Knicks picks) (protected top 22 in 2009, top 15 in 2010, top 17 in 2011, top 16 in 2012, top 16 in 2013, else 2014 second round pick, $1.15M cash) (2010 #23-Trevor Booker)",Jazz Aquires: ;Kyle Korver,,,
2008-02-01_Grizzlies_Lakers,"Grizzlies Aquires: ;Kwame Brown;Javaris Crittenton;Aaron McKie;rights to Marc Gasol;first round pick (protected top 3 2008-11, unprotected in 2012) (2008 #28-Donte Greene);2010 first round pick (protected top 6) (#28-Greivis Vasquez);cash",Lakers Aquires: ;Pau Gasol;2010 second round pick (#43-Devin Ebanks),,,
2008-02-04_Grizzlies_Nets,Grizzlies Aquires: ;Jason Collins;cash,Nets Aquires: ;Stromile Swift,,,
2008-02-06_Heat_Suns,Heat Aquires: ;Shawn Marion;Marcus Banks,Suns Aquires: ;Shaquille O'Neal,,,
2008-02-16_Hawks_Kings,Hawks Aquires: ;Mike Bibby,Kings Aquires: ;Anthony Johnson;Tyronn Lue;Shelden Williams;Lorenzen Wright;2008 second round pick (#42-Sean Singletary),,,
2008-02-19_Mavericks_Nets,Mavericks Aquires: ;Jason Kidd;Malik Allen;Antoine Wright,Nets Aquires: ;Devin Harris;DeSagana Diop;Trenton Hassell;Maurice Ager;Keith Van Horn;2008 first round pick (lottery protected) (#21-Ryan Anderson);2010 first round pick (#27-Jordan Crawford);$3M cash considerations,,,
2008-02-20_Sonics_Spurs,"Sonics Aquires: ;Brent Barry;Francisco Elson;first round pick (protected top 15 in 2009, top 10 in 2009, top 5 in 2011, top 3 in 2012, unprotected in 2013) (2009 #25-Rodrigue Beaubois)",Spurs Aquires: ;Kurt Thomas,,,
2008-02-21_Blazers_Nuggets,Blazers Aquires: ;Von Wafer,Nuggets Aquires: ;Taurean Green,,,
2008-02-21_Pistons_Raptors,Pistons Aquires: ;Juan Dixon,Raptors Aquires: ;Primoz Brezec;cash,,,
2008-02-21_Rockets_Timberwolves,Rockets Aquires: ;Gerald Green (b. 1986-01-26),Timberwolves Aquires: ;Kirk Snyder;2010 second round pick (#45-Paulo Prestes / Paulão Prestes);cash,,,
2008-02-21_Bulls_Cavaliers_Sonics,Bulls Aquires: ;Larry Hughes;Drew Gooden;Shannon Brown;Cedric Simmons,Cavaliers Aquires: ;Ben Wallace;Joe Smith (Leynard);Wally Szczerbiak;Delonte West;2009 second round pick (from Bulls) (#46-Danny Green),Sonics Aquires: ;Ira Newble;Donyell Marshall;Adrian Griffin,,
2008-02-21_Grizzlies_Hornets_Rockets,Grizzlies Aquires: ;Marcus Vinicius Viera de Souza;rights to Malick Badiane;cash considerations,Hornets Aquires: ;Bonzi Wells;Mike James (Lamont);cash considerations,"Rockets Aquires: ;Bobby Jackson;Adam Haluska;rights to Sergei Lishouk / Sergei Lishchuk;2008 second round pick (from Hornets) (more favorable of Hornets, Rockets) (#54-Maarty Leunen)",,
2008-06-25_Bobcats_Nuggets,Bobcats Aquires: ;2008 first round pick (#20-Alexis Ajinca / Alex Ajinca),"Nuggets Aquires: ;first round pick (protected lottery in 2009, top 12 in 2010, top 10 in 2011, top 8 in 2012, top 3 in 2013, unprotected in 2014) (2010 #16-Luke Babbitt)",,,
2008-06-26_Bucks_Nets,Bucks Aquires: ;Richard Jefferson,Nets Aquires: ;Yi Jianlian / Jianlian Yi;Bobby Simmons,,,
2008-06-26_Blazers_Hornets,Blazers Aquires: ;rights to Darrell Arthur,Hornets Aquires: ;cash,,,
2008-06-26_Cavaliers_Heat,Cavaliers Aquires: ;rights to Darnell Jackson,Heat Aquires: ;2009 second round pick (less favorable of Bulls and Cavaliers picks) (#60-Robert Dozier),,,
2008-06-26_Cavaliers_Sonics,Cavaliers Aquires: ;rights to Sasha Kaun,Sonics Aquires: ;cash,,,
2008-06-26_Celtics_Wizards,Celtics Aquires: ;rights to Bill Walker / Henry Walker,Wizards Aquires: ;cash,,,
2008-06-26_Grizzlies_Timberwolves,Grizzlies Aquires: ;Marko Jaric;Antoine Walker;Greg Buckner;rights to O.J. Mayo,Timberwolves Aquires: ;Mike Miller;Brian Cardinal;Jason Collins;rights to Kevin Love,,,
2008-06-26_Pistons_Sonics,Pistons Aquires: ;rights to Walter Sharpe;rights to Trent Plaisted,Sonics Aquires: ;rights to D.J. White,,,
2008-06-26_Blazers_Grizzlies_Rockets,Blazers Aquires: ;rights to Nicolas Batum,Grizzlies Aquires: ;rights to Darrell Arthur,Rockets Aquires: ;rights to Donte Greene;rights to Joey Dorsey;2009 second round pick (from Grizzlies) (#36-Sam Young),,
2008-06-26_Spurs_Suns,Spurs Aquires: ;rights to Malik Hairston;2009 second round pick (#37-DeJuan Blair);cash,Suns Aquires: ;rights to Goran Dragic,,,
2008-06-26_Blazers_Clippers,Blazers Aquires: ;2009 second round pick (#33-Dante Cunningham),Clippers Aquires: ;rights to Mike Taylor,,,
2008-06-26_Heat_Timberwolves,Heat Aquires: ;rights to Mario Chalmers,"Timberwolves Aquires: ;2009 second round pick (second least favorable of 76ers, Heat, Pacers) (#45-Nick Calathes);2009 second round pick (least favorable of 76ers, Heat, Pacers) (#47-Henk Norel);$2M cash",,,
2008-06-26_Blazers_Bulls_Nuggets,Blazers Aquires: ;2009 second round pick (from Nuggets) (#55-Patrick Mills / Patty Mills);2009 second round pick (from Bulls) (#38-Jon Brockman);2010 second round pick (from Bulls) (#44-Jerome Jordan),Bulls Aquires: ;rights to Omer Asik,Nuggets Aquires: ;rights to Sonny Weems,,
2008-07-09_76ers_Timberwolves,"76ers Aquires: ;2010 second round pick (protected top 55 in 2010, extinguished thereafter) (not exercised)","Timberwolves Aquires: ;Rodney Carney;Calvin Booth;first round pick (protected top 22 in 2009, top 17 in 2010, top 15 in 2011, top 16 in 2012, top 16 in 2013) (2010 #23-Trevor Booker);cash considerations",,,
2008-07-09_Blazers_Pacers,Blazers Aquires: ;Ike Diogu;rights to Jerryd Bayless,Pacers Aquires: ;Jarrett Jack;Josh McRoberts;rights to Brandon Rush;cash considerations,,,
2008-07-09_Pacers_Raptors,Pacers Aquires: ;T.J. Ford;Radoslav Nesterovic / Rasho Nesterovic;Maceo Baston;rights to Roy Hibbert,Raptors Aquires: ;Jermaine O'Neal;rights to Nathan Jawai,,,
2008-07-15_Clippers_Nuggets,Clippers Aquires: ;Marcus Camby;Nuggets option to swap 2010 second round picks with Clippers (#54-Willie Warren),Nuggets Aquires: ;Nuggets option to swap 2010 second round picks with Clippers (#38-Andy Rautins),,,
2008-07-21_Magic_Nets,Magic Aquires: ;cash considerations,Nets Aquires: ;Keyon Dooling,,,
2008-07-22_Nets_Warriors - NOTE: this trade was later restructured,"Nets Aquires: ;2011 first round pick (protected top 14 in 2011, top 11 in 2012, top 10 in 2013, else 2013 second round pick, 2015 second round pick) (?-?)",Warriors - NOTE: this trade was later restructured Aquires: ;Marcus Williams (D.),,,
2008-07-22_Nets - NOTE: this trade was later restructured_Warriors,Warriors Aquires: ;Marcus Williams (D.),"Nets - NOTE: this trade was later restructured Aquires: ;2011 first round pick (protected top 14 in 2011, top 11 in 2012, top 10 in 2013, else 2013 second round pick, 2015 second round pick) (?-?)",,,
2008-07-23_Clippers_Jazz,Clippers Aquires: ;Jason Hart,Jazz Aquires: ;Brevin Knight,,,
2008-07-28_Knicks_Nuggets,Knicks Aquires: ;Taurean Green;Bobby Jones (Ray);2010 second round pick (#38-Andy Rautins),Nuggets Aquires: ;Renaldo Balkman;cash considerations,,,
2008-08-06_Clippers_Rockets,Clippers Aquires: ;Steve Novak;Rockets option to swap 2011 second round picks (#47-Travis Leslie),Rockets Aquires: ;Rockets option to swap 2011 second round picks (#38-Chandler Parsons),,,
2008-08-11_Bobcats_Sonics,Bobcats Aquires: ;2009 second round pick (#40-Derrick Brown),Sonics Aquires: ;rights to Kyle Weaver,,,
2008-08-13_Bucks_Cavaliers_Sonics,Bucks Aquires: ;Luke Ridnour;Adrian Griffin;Damon Jones,Cavaliers Aquires: ;Maurice Williams / Mo Williams,Sonics Aquires: ;Joe Smith (Leynard);Desmond Mason,,
2008-08-14_Kings_Rockets,"Kings Aquires: ;Bobby Jackson;Donte Greene;first round pick (protected top 14 in 2009-10, top 10 in 2011-12, top 5 in 2013, top 3 in 2014, unprotected in 2015) (2009 #23-Omri Casspi);$1M cash",Rockets Aquires: ;Ron Artest / Metta World Peace;Sean Singletary;Patrick Ewing Jr.,,,
2008-08-25_Rockets_Suns,Rockets Aquires: ;D.J. Strawberry,Suns Aquires: ;Sean Singletary,,,
2008-08-29_Knicks_Rockets,Knicks Aquires: ;Patrick Ewing Jr.,Rockets Aquires: ;rights to Frederic Weis,,,
2008-10-10_Mavericks_Pacers,Mavericks Aquires: ;Shawne Williams,Pacers Aquires: ;Eddie Jones;2009 second round pick (#52-A.J. Price);2010 or 2011 second round pick (Mavericks option) (2010 #57-Ryan Reid);~$1.8M cash,,,
2008-11-03_Nuggets_Pistons,Nuggets Aquires: ;Chauncey Billups;Antonio McDyess;Cheikh Samb,Pistons Aquires: ;Allen Iverson,,,
2008-11-21_Knicks_Warriors,Knicks Aquires: ;Al Harrington,Warriors Aquires: ;Jamal Crawford,,,
2008-11-21_Clippers_Knicks,Clippers Aquires: ;Zach Randolph;Mardy Collins,Knicks Aquires: ;Tim Thomas;Cuttino Mobley,,,
2008-12-10_Bobcats_Suns,Bobcats Aquires: ;Boris Diaw;Raja Bell;Sean Singletary,Suns Aquires: ;Jason Richardson;Jared Dudley;2010 second round pick (#46-Gani Lawal),,,
2008-12-10_Grizzlies_Hornets_Wizards,"Grizzlies Aquires: ;first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick) (2010 #12-Xavier Henry)",Hornets Aquires: ;Antonio Daniels;2015 conditional second round pick (from Grizzlies) or $350K cash (Grizzlies option) (cash),Wizards Aquires: ;Javaris Crittenton;Mike James (Lamont),,
2008-12-23_Grizzlies_Rockets,Grizzlies Aquires: ;Steve Francis;2009 second round pick (#36-Sam Young);cash,Rockets Aquires: ;2011 second round pick (protected top 55 in 2011) (not exercised),,,
2009-01-05_Clippers_Nuggets,Clippers Aquires: ;Cheikh Samb;cash (remainder of Samb's 2008-09 salary),Nuggets Aquires: ;2015 second round pick (protected top 55) (#57-Nikola Radicevic),,,
2009-01-07_Nuggets_Thunder,Nuggets Aquires: ;Johan Petro;2009 second round pick (#34-Sergio Llull),"Thunder Aquires: ;Chucky Atkins;first round pick (protected top 20 in 2009, top 15 in 2010, top 10 in 2011, top 5 in 2012, top 3 in 2013, top 1 in 2014, unprotected in 2015) (2009 #26-Taj Gibson);cash",,,
2009-01-07_Clippers_Raptors,Clippers Aquires: ;Hassan Adams;cash considerations,"Raptors Aquires: ;2015 second round pick (protected top 50 and #56-60, else extinguished) (not exercised)",,,
2009-01-07_Grizzlies_Heat,Grizzlies Aquires: ;Shaun Livingston;cash,Heat Aquires: ;2012 second round pick (protected top 55) (not exercised),,,
2009-01-16_Bobcats_Mavericks,Bobcats Aquires: ;DeSagana Diop,Mavericks Aquires: ;Matt Carroll;Ryan Hollins,,,
2009-02-05_Bucks_Magic,Bucks Aquires: ;Keith Bogans;cash,Magic Aquires: ;Tyronn Lue,,,
2009-02-07_Bobcats_Lakers,Bobcats Aquires: ;Vladimir Radmanovic,Lakers Aquires: ;Adam Morrison;Shannon Brown,,,
2009-02-13_Heat_Raptors,"Heat Aquires: ;Jermaine O'Neal;Jamario Moon;2010 conditional second round pick (if first round pick does not transfer in 2010) (#42-Da'Sean Butler);first round pick (originally lottery protected 2010-15, protection effectively removed when pick traded back to Raptors) (2011 #5-Jonas Valanciunas);$4.2M trade exception",Raptors Aquires: ;Shawn Marion;Marcus Banks;$3M cash considerations,,,
2009-02-16_Clippers_Pistons,Clippers Aquires: ;Alex Acker;2011 second round pick (#37-Trey Thompkins),Pistons Aquires: ;2013 second round pick (protected top 55) (#56-Peyton Siva),,,
2009-02-17_Celtics_Kings,Celtics Aquires: ;2015 second round pick (protected top 55) (not exercised),Kings Aquires: ;Sam Cassell;cash,,,
2009-02-17_Hornets_Thunder (trade later rescinded by Thunder when Chandler failed physical),Hornets Aquires: ;Joe Smith (Leynard);Chris Wilcox;rights to DeVon Hardin,Thunder (trade later rescinded by Thunder when Chandler failed physical) Aquires: ;Tyson Chandler,,,
2009-02-17_Hornets (trade later rescinded by Thunder when Chandler failed physical)_Thunder,Thunder Aquires: ;Tyson Chandler,Hornets (trade later rescinded by Thunder when Chandler failed physical) Aquires: ;Joe Smith (Leynard);Chris Wilcox;rights to DeVon Hardin,,,
2009-02-18_Bulls_Kings,Bulls Aquires: ;Brad Miller;John Salmons,Kings Aquires: ;Andres Nocioni;Drew Gooden;Cedric Simmons;Michael Ruffin,,,
2009-02-18_Hornets_Thunder,Hornets Aquires: ;Tyson Chandler,Thunder Aquires: ;Joe Smith (Leynard);Chris Wilcox;rights to DeVon Hardin,,,
2009-02-18_Blazers_Kings,Blazers Aquires: ;Michael Ruffin,Kings Aquires: ;Ike Diogu;cash,,,
2009-02-19_Bulls_Thunder,"Bulls Aquires: ;2009 first round pick (less favorable of Nuggets, Spurs) (#26-Taj Gibson)",Thunder Aquires: ;Thabo Sefolosha,,,
2009-02-19_Bulls_Knicks,Bulls Aquires: ;Tim Thomas;Jerome James;Anthony Roberson,Knicks Aquires: ;Larry Hughes,,,
2009-02-19_Grizzlies_Lakers,Grizzlies Aquires: ;Chris Mihm,"Lakers Aquires: ;2013 second round pick (protected top 55 in 2013, else extinguished) (not exercised)",,,
2009-02-19_Kings_Timberwolves,Kings Aquires: ;Rashad McCants;Calvin Booth,Timberwolves Aquires: ;Shelden Williams;Bobby Brown,,,
2009-02-19_Knicks_Thunder,Knicks Aquires: ;Chris Wilcox,Thunder Aquires: ;Malik Rose;cash considerations,,,
2009-02-19_Celtics_Kings_Raptors,"Celtics Aquires: ;2014 second round pick (from Kings) (top 55 protected in 2014, else extinguished) (?-?)",Kings Aquires: ;Will Solomon;cash considerations,Raptors Aquires: ;Patrick O'Bryant,,
2009-02-19_Grizzlies_Magic_Rockets,Grizzlies Aquires: ;Adonal Foyle;Mike Wilks;2009 first round pick (from Magic) (#27-DeMarre Carroll);cash,Magic Aquires: ;Rafer Alston,Rockets Aquires: ;Brian Cook;Kyle Lowry,,
2009-06-09_76ers_Raptors,76ers Aquires: ;Jason Kapono,Raptors Aquires: ;Reggie Evans,,,
2009-06-23_Bucks_Spurs,Bucks Aquires: ;Bruce Bowen;Kurt Thomas;Fabricio Oberto,Spurs Aquires: ;Richard Jefferson,,,
2009-06-23_Bucks_Pistons,Bucks Aquires: ;Amir Johnson,Pistons Aquires: ;Fabricio Oberto,,,
2009-06-24_Blazers_Mavericks,Blazers Aquires: ;2009 first round pick (#22-Victor Claver),"Mavericks Aquires: ;2009 first round pick (#24-B.J. Mullens / Byron Mullens);2009 second round pick (#56-Ahmad Nivins);2010 second round pick (less favorable of Blazers, Bulls picks) (#51-Magnum Rolle)",,,
2009-06-24_Timberwolves_Wizards,Timberwolves Aquires: ;Etan Thomas;Darius Songaila;Oleksiy Pecherov;2009 first round pick (#5-Ricky Rubio),Wizards Aquires: ;Randy Foye;Mike Miller,,,
2009-06-25_Cavaliers_Suns,Cavaliers Aquires: ;Shaquille O'Neal,Suns Aquires: ;Ben Wallace;Aleksandar Pavlovic / Sasha Pavlovic;2010 second round pick (protected top 40) (#60-Dwayne Collins);$500K cash,,,
2009-06-25_Grizzlies_Knicks,Grizzlies Aquires: ;Quentin Richardson;cash,Knicks Aquires: ;Darko Milicic,,,
2009-06-25_Hawks_Warriors,Hawks Aquires: ;Jamal Crawford,Warriors Aquires: ;Acie Law;Craig Claxton / Speedy Claxton,,,
2009-06-25_Magic_Nets,Magic Aquires: ;Vince Carter;Ryan Anderson,Nets Aquires: ;Rafer Alston;Tony Battie;Courtney Lee,,,
2009-06-25_Blazers_Kings,Blazers Aquires: ;rights to Jeff Pendergraph / Jeff Ayres,Kings Aquires: ;Sergio Rodriguez;rights to Jon Brockman;cash considerations,,,
2009-06-25_Bobcats_Thunder,Bobcats Aquires: ;cash considerations,Thunder Aquires: ;rights to Robert Vaden,,,
