Key,Date,From,To,Teams Involved,Player Trade,Rights/Pick Trade
2000-06-27_Bucks_Cavaliers_Warriors=Billy Owens+J.R. Reid,2000-06-27,Billy Owens,J.R. Reid,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Billy Owens+Tractor Traylor,2000-06-27,Billy Owens,Tractor Traylor,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Billy Owens+Vinny Del Negro,2000-06-27,Billy Owens,Vinny Del Negro,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Bob Sura+J.R. Reid,2000-06-27,J.R. Reid,Bob Sura,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Bob Sura+Tractor Traylor,2000-06-27,Tractor Traylor,Bob Sura,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Bob Sura+Jason Caffey,2000-06-27,Bob Sura,Jason Caffey,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-27_Bucks_Cavaliers_Warriors=Billy Owens+Bob Sura,2000-06-27,Bob Sura,Billy Owens,"['Warriors', 'Bucks', 'Cavaliers']",True,False
2000-06-28_Clippers_Mavericks=Eric Murdock+Sean Rooks,2000-06-28,Sean Rooks,Eric Murdock,"['Clippers', 'Mavericks']",True,False
2000-06-28_Clippers_Mavericks=Dan Langhi+Sean Rooks,2000-06-28,Sean Rooks,Dan Langhi,"['Clippers', 'Mavericks']",True,True
2000-06-28_Bucks_Rockets=Jason Collier+Joel Przybilla,2000-06-28,Joel Przybilla,Jason Collier,"['Bucks', 'Rockets']",False,True
2000-06-28_Bucks_Rockets=Jeryl Sasser+Joel Przybilla,2000-06-28,Joel Przybilla,Jeryl Sasser,"['Bucks', 'Rockets']",False,True
2000-06-28_Bulls_Cavaliers=Chris Mihm+Jamal Crawford,2000-06-28,Jamal Crawford,Chris Mihm,"['Bulls', 'Cavaliers']",False,True
2000-06-28_Celtics_Sonics=Josip Sesar+Michael Wright,2000-06-28,Josip Sesar,Michael Wright,"['Celtics', 'Sonics']",False,True
2000-06-28_Celtics_Sonics=Earl Watson+Josip Sesar,2000-06-28,Josip Sesar,Earl Watson,"['Celtics', 'Sonics']",False,True
2000-06-28_Clippers_Magic=Corey Maggette+Marcus Williams,2000-06-28,Corey Maggette,Marcus Williams,"['Clippers', 'Magic']",True,True
2000-06-28_Clippers_Magic=Derek Strong+Marcus Williams,2000-06-28,Derek Strong,Marcus Williams,"['Clippers', 'Magic']",True,True
2000-06-28_Clippers_Magic=Keyon Dooling+Marcus Williams,2000-06-28,Keyon Dooling,Marcus Williams,"['Clippers', 'Magic']",False,True
2000-06-28_Clippers_Magic=Dan Langhi+Marcus Williams,2000-06-28,Dan Langhi,Marcus Williams,"['Clippers', 'Magic']",False,True
2000-06-28_Lakers_Spurs=Corey Hightower+Robertas Javtokas,2000-06-28,Corey Hightower,Robertas Javtokas,"['Lakers', 'Spurs']",False,True
2000-06-28_Lakers_Spurs=Corey Hightower+Randy Holcomb,2000-06-28,Corey Hightower,Randy Holcomb,"['Lakers', 'Spurs']",False,True
2000-06-28_Magic_Mavericks=Courtney Alexander+Dan Langhi,2000-06-28,Dan Langhi,Courtney Alexander,"['Magic', 'Mavericks']",False,True
2000-06-28_Magic_Mavericks=Brandon Armstrong+Courtney Alexander,2000-06-28,Brandon Armstrong,Courtney Alexander,"['Magic', 'Mavericks']",False,True
2000-06-28_Knicks_Mavericks=Erick Strickland+John Wallace,2000-06-28,Erick Strickland,John Wallace,"['Knicks', 'Mavericks']",True,False
2000-06-28_Knicks_Mavericks=Donnell Harvey+Erick Strickland,2000-06-28,Erick Strickland,Donnell Harvey,"['Knicks', 'Mavericks']",True,True
2000-06-28_Knicks_Mavericks=John Wallace+Pete Mickeal,2000-06-28,Pete Mickeal,John Wallace,"['Knicks', 'Mavericks']",True,True
2000-06-28_Knicks_Mavericks=Donnell Harvey+Pete Mickeal,2000-06-28,Pete Mickeal,Donnell Harvey,"['Knicks', 'Mavericks']",False,True
2000-06-28_Mavericks_Rockets=Dan Langhi+Eduardo Najera,2000-06-28,Eduardo Najera,Dan Langhi,"['Mavericks', 'Rockets']",False,True
2000-06-28_Mavericks_Rockets=Dan Langhi+Kyle Hill,2000-06-28,Kyle Hill,Dan Langhi,"['Mavericks', 'Rockets']",False,True
2000-08-01_Heat_Hornets=Eddie Jones+Jamal Mashburn,2000-08-01,Eddie Jones,Jamal Mashburn,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Eddie Jones+P.J. Brown,2000-08-01,Eddie Jones,P.J. Brown,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Eddie Jones+Otis Thorpe,2000-08-01,Eddie Jones,Otis Thorpe,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Eddie Jones+Tim James,2000-08-01,Eddie Jones,Tim James,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Eddie Jones+Rodney Buford,2000-08-01,Eddie Jones,Rodney Buford,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Anthony Mason (Sr.)+Jamal Mashburn,2000-08-01,Anthony Mason (Sr.),Jamal Mashburn,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Anthony Mason (Sr.)+P.J. Brown,2000-08-01,Anthony Mason (Sr.),P.J. Brown,"['Heat', 'Hornets']",True,False
2000-08-01_Heat_Hornets=Anthony Mason (Sr.)+Otis Thorpe,2000-08-01,Anthony Mason (Sr.),Otis Thorpe,"['Heat', 'Hornets']",True,False
